"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Основной функционал","5","0","Тесты функционала главной страницы","0"
"0","","0","Лента заказов","3","0","Тесты функционала ленты заказов","0"
