"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2211","При добавлении ингредиента в заказ счётчик этого ингредиента увеличивается","tests","Sat Jul 26 14:00:49 MSK 2025","passed","Sat Jul 26 14:00:51 MSK 2025","TestMainPage","test_main_page","",""
"","1301","Переход по клику на «Конструктор","tests","Sat Jul 26 14:00:19 MSK 2025","passed","Sat Jul 26 14:00:21 MSK 2025","TestMainPage","test_main_page","",""
"","1974","Переход по клику на раздел «Лента заказов»","tests","Sat Jul 26 14:00:22 MSK 2025","passed","Sat Jul 26 14:00:24 MSK 2025","TestMainPage","test_main_page","",""
"","7574","При создании нового заказа счётчик «Выполнено за сегодня» увеличивается","tests","Sat Jul 26 14:01:01 MSK 2025","passed","Sat Jul 26 14:01:09 MSK 2025","TestOrderPage","test_order_feed","",""
"","7050","При создании нового заказа счётчик «Выполнено за всё время» увеличивается","tests","Sat Jul 26 14:00:53 MSK 2025","passed","Sat Jul 26 14:01:00 MSK 2025","TestOrderPage","test_order_feed","",""
"","1899","Если кликнуть на ингредиент, появится всплывающее окно с деталями","tests","Sat Jul 26 14:00:26 MSK 2025","passed","Sat Jul 26 14:00:28 MSK 2025","TestMainPage","test_main_page","",""
"","11979","После оформления заказа его номер появляется в разделе «В работе»","tests","Sat Jul 26 14:01:10 MSK 2025","passed","Sat Jul 26 14:01:22 MSK 2025","TestOrderPage","test_order_feed","",""
"","17626","Всплывающее окно закрывается кликом по крестику","tests","Sat Jul 26 14:00:29 MSK 2025","passed","Sat Jul 26 14:00:47 MSK 2025","TestMainPage","test_main_page","",""
